,Date of Sale,Menu Name,Net Sales,Sales Quantity
1518,07-19-2024,Caramel Apple Pie,63.,17.
1519,07-19-2024,Chocolate Avalanche,51.35,13.
1520,07-19-2024,Chocolate Croissant,51.,12.
1521,07-19-2024,Cranberry Cream Cheese Scone,10.,4.
1522,07-19-2024,Cream Puff Pastry,22.5,6.
1523,07-19-2024,Crispy Almond Pastry,75.,20.
1524,07-19-2024,Croissant,74.75,23.
1525,07-19-2024,Custard & Almond Pretzel Pastry,7.,2.
1526,07-19-2024,Elotes Pastry,27.65,7.
1527,07-19-2024,Frank Pastry,59.25,15.
1528,07-19-2024,Garlic & Cheese Croissant,21.25,5.
1529,07-19-2024,Greek Yogurt Cherry Danish,21.75,6.
1530,07-19-2024,Guava Danish,78.,21.
1531,07-19-2024,Mini Apple Danish Trio,41.65,10.
1532,07-19-2024,Mixed Berry Danish,20.,4.
1533,07-19-2024,Mont Blanc Pastry,18.,3.
1534,07-19-2024,Pain Au Chocolat,63.,17.
1535,07-19-2024,Pain Aux Raisin,22.5,6.
1536,07-19-2024,Pineapple Cream Cheese Scone,7.5,3.
1537,07-19-2024,Portuguese Egg Tart,58.5,18.
1538,07-19-2024,Raspberry Pretzel Pastry,7.,2.
1539,07-19-2024,Spinach Feta Danish,90.06,23.
1540,07-19-2024,Strawberry Croissant,42.75,9.
1541,07-19-2024,Sweet Cheese and Blueberry Danish,48.75,13.
1542,07-19-2024,Yuzu Pie,63.75,15.
1543,07-19-2024,Baby Choux,22.5,5.
1544,07-19-2024,Banana Soft,14.,4.
1545,07-19-2024,Belgium Waffle,21.,6.
1546,07-19-2024,Blueberry Cream Cheese Bread,31.5,9.
1547,07-19-2024,Blueberry Muffin with crumble,7.,2.
1548,07-19-2024,Butter Cream Bread,6.75,1.
1549,07-19-2024,Chocolate Dipped Waffle,52.,13.
1550,07-19-2024,Cranberry Cream Cheese Bread,35.75,11.
1551,07-19-2024,Cream Cheese Walnut Bread,3.5,1.
1552,07-19-2024,Croque Monsieur,75.05,16.
1553,07-19-2024,Custard Bun,42.,14.
1554,07-19-2024,Custard Cream Soboro,38.5,11.
1555,07-19-2024,Double Chocolate Muffin,17.5,5.
1556,07-19-2024,Foliage Sausage Bread,89.1,18.
1557,07-19-2024,Garlic Cream Cheese Bread,45.65,9.
1558,07-19-2024,Garlic Stick,3.,1.
1559,07-19-2024,Honey Cheese Pancake,58.41,12.
1560,07-19-2024,Honeydew Melon Soft,17.5,5.
1561,07-19-2024,Milk Cream Bread,42.25,13.
1562,07-19-2024,Milk Soft Bread,42.,12.
1563,07-19-2024,Mini Butter Cream Bread,12.5,5.
1564,07-19-2024,Mocha Cream Bread,9.9,2.
1565,07-19-2024,Morning Bread,18.75,3.
1566,07-19-2024,Nutty Cream Stick Bread,25.5,6.
1567,07-19-2024,Olive Tomato Bread,27.,6.
1568,07-19-2024,Original Coffee Bun,33.75,9.
1569,07-19-2024,Pizza Bread,33.25,7.
1570,07-19-2024,Potato Cheese Bread,54.45,11.
1571,07-19-2024,Premium Red Bean Bread,7.,2.
1572,07-19-2024,Redbean Bread,29.4,10.
1573,07-19-2024,Salt & Butter Roll,52.5,15.
1574,07-19-2024,Soboro,25.8,9.
1575,07-19-2024,Strawberry Cream Soboro,14.87,4.
1576,07-19-2024,Strawberry Soft,28.,8.
1577,07-19-2024,Sweet Frank Roll,77.02,20.
1578,07-19-2024,Taro Buttercream Bread,6.95,1.
1579,07-19-2024,Taro Cream Bun,3.5,1.
1580,07-20-2024,Chocolate Cream Doughnut,39.5,10.
1581,07-20-2024,Corn Cheese Donut,39.6,8.
1582,07-20-2024,Croquette,104.25,28.
1583,07-20-2024,Curry Croquette,118.12,32.
1584,07-20-2024,Kimchi Croquette,69.,19.
1585,07-20-2024,Mango Cream Doughnut,86.9,22.
1586,07-20-2024,Redbean Donut,27.,9.
1587,07-20-2024,Sesame Donut,13.75,5.
1588,07-20-2024,Sweet Rice Donut,59.12,22.
1589,07-20-2024,Twist Donut,63.8,24.
1590,07-20-2024,Baguette,10.5,3.
1591,07-20-2024,Walnut Cream Baguette,18.81,4.
1592,07-20-2024,Chestnut Pan Bread,13.9,2.
1593,07-20-2024,Mascarpone Whipped Cream Loaf,12.6,2.
1594,07-20-2024,Multi-Grain Plant-Based Loaf,21.,3.
1595,07-20-2024,Olive Basil Plant-Based Loaf,7.,1.
1596,07-20-2024,Purple Sweet Potato Loaf,28.,4.
1597,07-20-2024,Whole Milk Loaf,49.,7.
1598,07-20-2024,Chocolate Pretzel Pastry,34.3,10.
1599,07-20-2024,Almond Croissant,68.,16.
1600,07-20-2024,Caramel Almond Pastry,21.75,6.
1601,07-20-2024,Caramel Apple Pie,78.75,21.
1602,07-20-2024,Chocolate Avalanche,98.75,25.
1603,07-20-2024,Chocolate Croissant,50.15,12.
1604,07-20-2024,Cranberry Cream Cheese Scone,17.5,7.
1605,07-20-2024,Cream Puff Pastry,26.25,7.
1606,07-20-2024,Crispy Almond Pastry,75.,20.
1607,07-20-2024,Croissant,97.5,30.
1608,07-20-2024,Custard & Almond Pretzel Pastry,3.5,1.
1609,07-20-2024,Elotes Pastry,27.65,7.
1610,07-20-2024,Frank Pastry,67.15,17.
1611,07-20-2024,Garlic & Cheese Croissant,19.55,5.
1612,07-20-2024,Greek Yogurt Cherry Danish,60.,16.
1613,07-20-2024,Guava Danish,59.25,16.
1614,07-20-2024,Mini Apple Danish Trio,38.25,9.
1615,07-20-2024,Mixed Berry Danish,25.,5.
1616,07-20-2024,Mont Blanc Pastry,28.8,5.
1617,07-20-2024,Pain Au Chocolat,112.5,30.
1618,07-20-2024,Pain Aux Raisin,18.75,5.
1619,07-20-2024,Pineapple Cream Cheese Scone,37.,15.
1620,07-20-2024,Portuguese Egg Tart,74.75,23.
1621,07-20-2024,Raspberry Pretzel Pastry,24.5,7.
1622,07-20-2024,Spinach Feta Danish,98.75,25.
1623,07-20-2024,Strawberry Croissant,23.75,5.
1624,07-20-2024,Sweet Cheese and Blueberry Danish,33.75,9.
1625,07-20-2024,Yuzu Pie,63.75,15.
1626,07-20-2024,Baby Choux,18.,4.
1627,07-20-2024,Banana Soft,38.5,11.
1628,07-20-2024,Belgium Waffle,28.,8.
1629,07-20-2024,Blueberry Cream Cheese Bread,46.9,14.
1630,07-20-2024,Blueberry Muffin with crumble,21.,6.
1631,07-20-2024,Chocolate Dipped Waffle,52.,13.
1632,07-20-2024,Cranberry Cream Cheese Bread,44.85,14.
1633,07-20-2024,Croque Monsieur,81.22,18.
1634,07-20-2024,Custard Bun,38.4,13.
1635,07-20-2024,Custard Cream Soboro,53.9,16.
1636,07-20-2024,Double Chocolate Muffin,17.5,5.
1637,07-20-2024,Foliage Sausage Bread,99.,20.
1638,07-20-2024,Garlic Cream Cheese Bread,71.5,13.
1639,07-20-2024,Honey Cheese Pancake,54.45,11.
1640,07-20-2024,Honeydew Melon Soft,36.4,11.
1641,07-20-2024,Milk Cream Bread,48.1,15.
1642,07-20-2024,Milk Soft Bread,27.3,8.
1643,07-20-2024,Mini Butter Cream Bread,22.5,9.
1644,07-20-2024,Mocha Cream Bread,24.75,5.
1645,07-20-2024,Morning Bread,25.,4.
1646,07-20-2024,Nutty Cream Stick Bread,25.5,6.
1647,07-20-2024,Olive Tomato Bread,36.,8.
1648,07-20-2024,Original Coffee Bun,37.5,10.
1649,07-20-2024,Pizza Bread,23.75,5.
1650,07-20-2024,Potato Cheese Bread,64.35,13.
1651,07-20-2024,Premium Red Bean Bread,35.,10.
1652,07-20-2024,Redbean Bread,35.4,12.
1653,07-20-2024,Salt & Butter Roll,56.,16.
1654,07-20-2024,Soboro,37.5,13.
1655,07-20-2024,Strawberry Cream Soboro,25.5,6.
1656,07-20-2024,Strawberry Soft,36.4,11.
1657,07-20-2024,Sweet Frank Roll,69.12,18.
1658,07-20-2024,Taro Buttercream Bread,13.9,2.
1659,07-20-2024,Taro Cream Bun,7.,2.
1660,07-20-2024,The+ Milk Roll,21.85,4.
1661,07-22-2024,Chocolate Cream Doughnut,55.3,14.
1662,07-22-2024,Corn Cheese Donut,43.56,9.
1663,07-22-2024,Croquette,53.62,15.
1664,07-22-2024,Curry Croquette,110.99,31.
1665,07-22-2024,Kimchi Croquette,55.5,15.
1666,07-22-2024,Mango Cream Doughnut,82.95,21.
1667,07-22-2024,Redbean Donut,15.,5.
1668,07-22-2024,Sesame Donut,27.5,10.
1669,07-22-2024,Sweet Rice Donut,29.7,11.
1670,07-22-2024,Twist Donut,38.5,14.
1671,07-22-2024,Baguette,10.5,3.
1672,07-22-2024,Walnut Cream Baguette,4.95,1.
1673,07-22-2024,Chestnut Pan Bread,12.51,2.
1674,07-22-2024,Purple Sweet Potato Loaf,14.,2.
1675,07-22-2024,Whole Milk Loaf,19.6,3.
1676,07-22-2024,Chocolate Pretzel Pastry,14.,4.
1677,07-22-2024,Almond Croissant,23.8,6.
1678,07-22-2024,Caramel Almond Pastry,3.75,1.
1679,07-22-2024,Caramel Apple Pie,63.75,17.
1680,07-22-2024,Chocolate Avalanche,47.4,12.
1681,07-22-2024,Chocolate Croissant,57.37,14.
1682,07-22-2024,Cranberry Cream Cheese Scone,15.,6.
1683,07-22-2024,Cream Puff Pastry,22.5,6.
1684,07-22-2024,Crispy Almond Pastry,39.75,11.
1685,07-22-2024,Croissant,48.75,15.
1686,07-22-2024,Elotes Pastry,30.81,8.
1687,07-22-2024,Frank Pastry,26.86,7.
1688,07-22-2024,Garlic & Cheese Croissant,21.25,5.
1689,07-22-2024,Greek Yogurt Cherry Danish,37.5,10.
1690,07-22-2024,Guava Danish,30.,8.
1691,07-22-2024,Mini Apple Danish Trio,8.5,2.
1692,07-22-2024,Mixed Berry Danish,14.,3.
1693,07-22-2024,Mont Blanc Pastry,18.,3.
1694,07-22-2024,Pain Au Chocolat,63.,17.
1695,07-22-2024,Pain Aux Raisin,15.,4.
1696,07-22-2024,Pineapple Cream Cheese Scone,15.,6.
1697,07-22-2024,Portuguese Egg Tart,57.2,18.
1698,07-22-2024,Raspberry Pretzel Pastry,2.8,1.
1699,07-22-2024,Spinach Feta Danish,86.9,22.
1700,07-22-2024,Strawberry Croissant,19.,4.
1701,07-22-2024,Sweet Cheese and Blueberry Danish,41.25,11.
1702,07-22-2024,Yuzu Pie,51.,12.
1703,07-22-2024,Baby Choux,9.,2.
1704,07-22-2024,Banana Soft,14.,4.
1705,07-22-2024,Belgium Waffle,16.8,5.
1706,07-22-2024,Blueberry Cream Cheese Bread,35.,10.
1707,07-22-2024,Blueberry Muffin with crumble,7.,2.
1708,07-22-2024,Chocolate Dipped Waffle,36.,9.
1709,07-22-2024,Cranberry Cream Cheese Bread,22.75,7.
1710,07-22-2024,Cream Cheese Walnut Bread,3.5,1.
1711,07-22-2024,Croque Monsieur,59.85,13.
1712,07-22-2024,Custard Bun,24.,8.
1713,07-22-2024,Custard Cream Soboro,31.5,9.
1714,07-22-2024,Double Chocolate Muffin,7.,2.
1715,07-22-2024,Foliage Sausage Bread,83.16,17.
1716,07-22-2024,Garlic Cream Cheese Bread,26.4,5.
1717,07-22-2024,Garlic Ham Cheese Bread,17.,4.
1718,07-22-2024,Garlic Stick,3.,1.
1719,07-22-2024,Honey Cheese Pancake,49.5,10.
1720,07-22-2024,Honeydew Melon Soft,14.,4.
1721,07-22-2024,Milk Cream Bread,46.47,15.
1722,07-22-2024,Milk Soft Bread,14.,4.
1723,07-22-2024,Mini Butter Cream Bread,6.5,3.
1724,07-22-2024,Mocha Cream Bread,14.85,3.
1725,07-22-2024,Morning Bread,22.5,4.
1726,07-22-2024,Nutty Cream Stick Bread,23.8,6.
1727,07-22-2024,Olive Tomato Bread,17.1,4.
1728,07-22-2024,Original Coffee Bun,29.25,8.
1729,07-22-2024,Pizza Bread,19.,4.
1730,07-22-2024,Potato Cheese Bread,45.54,10.
1731,07-22-2024,Premium Red Bean Bread,14.,4.
1732,07-22-2024,Redbean Bread,30.9,11.
1733,07-22-2024,Salt & Butter Roll,43.05,13.
1734,07-22-2024,Soboro,26.4,9.
1735,07-22-2024,Strawberry Cream Soboro,25.5,6.
1736,07-22-2024,Strawberry Soft,14.,4.
1737,07-22-2024,Sweet Frank Roll,66.35,18.
1738,07-22-2024,Taro Buttercream Bread,20.85,3.
1739,07-22-2024,The+ Milk Roll,11.5,2.
1740,07-23-2024,Chocolate Cream Doughnut,39.5,10.
1741,07-23-2024,Corn Cheese Donut,26.23,6.
1742,07-23-2024,Croquette,61.12,17.
1743,07-23-2024,Curry Croquette,88.5,24.
1744,07-23-2024,Kimchi Croquette,29.25,8.
1745,07-23-2024,Mango Cream Doughnut,47.4,12.
1746,07-23-2024,Redbean Donut,9.,3.
1747,07-23-2024,Sesame Donut,22.,8.
1748,07-23-2024,Sweet Rice Donut,24.2,9.
1749,07-23-2024,Twist Donut,16.5,6.
1750,07-23-2024,Baguette,3.5,1.
1751,07-23-2024,Walnut Cream Baguette,4.95,1.
1752,07-23-2024,Chestnut Pan Bread,13.9,2.
1753,07-23-2024,Multi-Grain Plant-Based Loaf,7.,1.
1754,07-23-2024,Purple Sweet Potato Loaf,7.,1.
1755,07-23-2024,Whole Milk Loaf,49.,7.
1756,07-23-2024,Chocolate Pretzel Pastry,24.5,7.
1757,07-23-2024,Almond Croissant,42.5,10.
1758,07-23-2024,Caramel Almond Pastry,7.5,2.
1759,07-23-2024,Caramel Apple Pie,52.5,14.
1760,07-23-2024,Chocolate Avalanche,38.71,10.
1761,07-23-2024,Chocolate Croissant,38.25,9.
1762,07-23-2024,Cranberry Cream Cheese Scone,17.5,7.
1763,07-23-2024,Cream Puff Pastry,15.,4.
1764,07-23-2024,Crispy Almond Pastry,22.5,6.
1765,07-23-2024,Croissant,55.25,17.
1766,07-23-2024,Custard & Almond Pretzel Pastry,7.,2.
1767,07-23-2024,Elotes Pastry,11.85,3.
1768,07-23-2024,Frank Pastry,31.6,8.
1769,07-23-2024,Garlic & Cheese Croissant,12.75,3.
1770,07-23-2024,Greek Yogurt Cherry Danish,52.5,14.
1771,07-23-2024,Guava Danish,43.5,12.
1772,07-23-2024,Jalapeno Cheese Croissant,12.75,3.
1773,07-23-2024,Mini Apple Danish Trio,34.,8.
1774,07-23-2024,Mixed Berry Danish,5.,1.
1775,07-23-2024,Mont Blanc Pastry,6.,1.
1776,07-23-2024,Pain Au Chocolat,52.5,14.
1777,07-23-2024,Pain Aux Raisin,26.25,7.
1778,07-23-2024,Pineapple Cream Cheese Scone,12.5,5.
1779,07-23-2024,Portuguese Egg Tart,9.75,3.
1780,07-23-2024,Raspberry Pretzel Pastry,13.3,4.
1781,07-23-2024,Spinach Feta Danish,75.05,19.
1782,07-23-2024,Strawberry Croissant,23.75,5.
1783,07-23-2024,Sweet Cheese and Blueberry Danish,24.37,7.
1784,07-23-2024,Yuzu Pie,21.25,5.
1785,07-23-2024,Baby Choux,4.5,1.
1786,07-23-2024,Banana Soft,7.,2.
1787,07-23-2024,Belgium Waffle,24.5,7.
1788,07-23-2024,Blueberry Cream Cheese Bread,17.5,5.
1789,07-23-2024,Blueberry Muffin with crumble,10.5,3.
1790,07-23-2024,Chocolate Dipped Waffle,24.,6.
1791,07-23-2024,Cranberry Cream Cheese Bread,32.5,10.
1792,07-23-2024,Croque Monsieur,75.05,16.
1793,07-23-2024,Custard Bun,21.,7.
1794,07-23-2024,Custard Cream Soboro,10.5,3.
1795,07-23-2024,Foliage Sausage Bread,71.77,15.
1796,07-23-2024,Garlic Cream Cheese Bread,49.5,9.
1797,07-23-2024,Honey Cheese Pancake,49.5,10.
1798,07-23-2024,Honeydew Melon Soft,17.5,5.
1799,07-23-2024,Milk Cream Bread,42.25,13.
1800,07-23-2024,Milk Soft Bread,10.5,3.
1801,07-23-2024,Mini Butter Cream Bread,7.5,3.
1802,07-23-2024,Mocha Cream Bread,4.95,1.
1803,07-23-2024,Morning Bread,12.5,2.
1804,07-23-2024,Nutty Cream Stick Bread,12.75,3.
1805,07-23-2024,Olive Tomato Bread,18.,4.
1806,07-23-2024,Original Coffee Bun,15.,4.
1807,07-23-2024,Pizza Bread,4.75,1.
1808,07-23-2024,Potato Cheese Bread,44.55,9.
1809,07-23-2024,Premium Red Bean Bread,3.5,1.
1810,07-23-2024,Redbean Bread,24.,8.
1811,07-23-2024,Salt & Butter Roll,17.5,5.
1812,07-23-2024,Soboro,15.,5.
1813,07-23-2024,Strawberry Cream Soboro,25.5,6.
1814,07-23-2024,Strawberry Soft,14.,4.
1815,07-23-2024,Sweet Frank Roll,71.1,18.
1816,07-23-2024,Taro Buttercream Bread,6.95,1.
1817,07-23-2024,The+ Milk Roll,5.75,1.
1818,07-24-2024,Chocolate Cream Doughnut,58.46,15.
1819,07-24-2024,Corn Cheese Donut,14.85,3.
1820,07-24-2024,Croquette,48.,13.
1821,07-24-2024,Curry Croquette,103.12,28.
1822,07-24-2024,Frank Roll,3.95,1.
1823,07-24-2024,Kimchi Croquette,21.93,6.
1824,07-24-2024,Mango Cream Doughnut,58.46,15.
1825,07-24-2024,Redbean Donut,12.,4.
1826,07-24-2024,Sesame Donut,18.7,7.
1827,07-24-2024,Sweet Rice Donut,24.75,9.
1828,07-24-2024,Twist Donut,30.25,11.
1829,07-24-2024,Baguette,10.5,3.
1830,07-24-2024,Walnut Cream Baguette,9.9,2.
1831,07-24-2024,Chestnut Pan Bread,13.9,2.
1832,07-24-2024,Mascarpone Whipped Cream Loaf,7.,1.
1833,07-24-2024,Purple Sweet Potato Loaf,7.,1.
1834,07-24-2024,Whole Milk Loaf,7.,1.
1835,07-24-2024,Chocolate Pretzel Pastry,31.5,9.
1836,07-24-2024,Almond Croissant,38.25,9.
1837,07-24-2024,Caramel Almond Pastry,22.5,6.
1838,07-24-2024,Caramel Apple Pie,44.44,12.
1839,07-24-2024,Chocolate Avalanche,51.35,13.
1840,07-24-2024,Chocolate Croissant,27.84,7.
1841,07-24-2024,Cranberry Cream Cheese Scone,7.5,3.
1842,07-24-2024,Cream Puff Pastry,26.25,7.
1843,07-24-2024,Crispy Almond Pastry,54.75,15.
1844,07-24-2024,Croissant,32.5,10.
1845,07-24-2024,Custard & Almond Pretzel Pastry,3.5,1.
1846,07-24-2024,Elotes Pastry,31.6,8.
1847,07-24-2024,Frank Pastry,23.7,6.
1848,07-24-2024,Fruit Pastry,2.95,1.
1849,07-24-2024,Garlic & Cheese Croissant,12.75,3.
1850,07-24-2024,Greek Yogurt Cherry Danish,18.75,5.
1851,07-24-2024,Guava Danish,40.69,11.
1852,07-24-2024,Jalapeno Cheese Croissant,8.5,2.
1853,07-24-2024,Mini Apple Danish Trio,21.25,5.
1854,07-24-2024,Mont Blanc Pastry,6.,1.
1855,07-24-2024,Pain Au Chocolat,111.,30.
1856,07-24-2024,Pain Aux Raisin,25.5,7.
1857,07-24-2024,Pineapple Cream Cheese Scone,12.5,5.
1858,07-24-2024,Portuguese Egg Tart,22.75,7.
1859,07-24-2024,Raspberry Pretzel Pastry,10.5,3.
1860,07-24-2024,Spinach Feta Danish,98.75,25.
1861,07-24-2024,Strawberry Croissant,28.5,6.
1862,07-24-2024,Sweet Cheese and Blueberry Danish,45.,12.
1863,07-24-2024,Yuzu Pie,59.5,14.
1864,07-24-2024,Baby Choux,4.5,1.
1865,07-24-2024,Banana Soft,9.8,3.
1866,07-24-2024,Belgium Waffle,16.8,5.
1867,07-24-2024,Blueberry Cream Cheese Bread,37.8,11.
1868,07-24-2024,Blueberry Muffin with crumble,7.,2.
1869,07-24-2024,Chocolate Dipped Waffle,43.2,11.
1870,07-24-2024,Croque Monsieur,70.3,15.
1871,07-24-2024,Custard Bun,23.55,8.
1872,07-24-2024,Custard Cream Soboro,20.3,6.
1873,07-24-2024,Foliage Sausage Bread,94.05,19.
1874,07-24-2024,Garlic Cream Cheese Bread,48.4,9.
1875,07-24-2024,Garlic Stick,3.,1.
1876,07-24-2024,Honey Cheese Pancake,48.51,10.
1877,07-24-2024,Honeydew Melon Soft,10.5,3.
1878,07-24-2024,Milk Cream Bread,48.75,15.
1879,07-24-2024,Milk Soft Bread,20.3,6.
1880,07-24-2024,Mini Butter Cream Bread,12.5,5.
1881,07-24-2024,Mocha Cream Bread,9.9,2.
1882,07-24-2024,Morning Bread,11.25,2.
1883,07-24-2024,Nutty Cream Stick Bread,4.25,1.
1884,07-24-2024,Olive Tomato Bread,18.,4.
1885,07-24-2024,Original Coffee Bun,21.75,6.
1886,07-24-2024,Pizza Bread,9.5,2.
1887,07-24-2024,Potato Cheese Bread,28.71,6.
1888,07-24-2024,Premium Red Bean Bread,10.5,3.
1889,07-24-2024,Redbean Bread,11.4,4.
1890,07-24-2024,Salt & Butter Roll,35.7,11.
1891,07-24-2024,Soboro,27.,9.
1892,07-24-2024,Strawberry Cream Soboro,29.75,7.
1893,07-24-2024,Strawberry Soft,14.,4.
1894,07-24-2024,Sweet Frank Roll,59.25,15.
1895,07-24-2024,Taro Buttercream Bread,13.9,2.
1896,07-24-2024,The+ Milk Roll,11.5,2.
1897,07-25-2024,Chocolate Cream Doughnut,46.81,12.
1898,07-25-2024,Corn Cheese Donut,67.32,14.
1899,07-25-2024,Croquette,35.25,10.
1900,07-25-2024,Curry Croquette,106.69,29.
1901,07-25-2024,Kimchi Croquette,44.25,12.
1902,07-25-2024,Mango Cream Doughnut,82.95,21.
1903,07-25-2024,Redbean Donut,11.55,4.
1904,07-25-2024,Sesame Donut,18.7,7.
1905,07-25-2024,Sweet Rice Donut,34.37,13.
1906,07-25-2024,Twist Donut,42.35,16.
1907,07-25-2024,Baguette,10.5,3.
1908,07-25-2024,Walnut Cream Baguette,9.9,2.
1909,07-25-2024,Chestnut Pan Bread,18.07,3.
1910,07-25-2024,Mascarpone Whipped Cream Loaf,21.,3.
1911,07-25-2024,Multi-Grain Plant-Based Loaf,7.,1.
1912,07-25-2024,Olive Basil Plant-Based Loaf,7.,1.
1913,07-25-2024,Whole Milk Loaf,21.,3.
1914,07-25-2024,Chocolate Pretzel Pastry,24.5,7.
1915,07-25-2024,Almond Croissant,63.75,15.
1916,07-25-2024,Caramel Almond Pastry,18.75,5.
1917,07-25-2024,Caramel Apple Pie,55.12,15.
1918,07-25-2024,Chocolate Avalanche,45.42,12.
1919,07-25-2024,Chocolate Croissant,46.75,11.
1920,07-25-2024,Cranberry Cream Cheese Scone,10.,4.
1921,07-25-2024,Cream Puff Pastry,30.,8.
1922,07-25-2024,Crispy Almond Pastry,26.25,7.
1923,07-25-2024,Croissant,32.5,10.
1924,07-25-2024,Elotes Pastry,35.55,9.
1925,07-25-2024,Frank Pastry,22.91,6.
1926,07-25-2024,Garlic & Cheese Croissant,24.22,6.
1927,07-25-2024,Greek Yogurt Cherry Danish,44.44,12.
1928,07-25-2024,Guava Danish,56.25,15.
1929,07-25-2024,Jalapeno Cheese Croissant,8.5,2.
1930,07-25-2024,Mini Apple Danish Trio,28.9,7.
1931,07-25-2024,Mixed Berry Danish,15.,3.
1932,07-25-2024,Mont Blanc Pastry,12.,2.
1933,07-25-2024,Pain Au Chocolat,58.12,16.
1934,07-25-2024,Pineapple Cream Cheese Scone,12.5,5.
1935,07-25-2024,Portuguese Egg Tart,39.,12.
1936,07-25-2024,Raspberry Pretzel Pastry,7.,2.
1937,07-25-2024,Spinach Feta Danish,84.33,22.
1938,07-25-2024,Strawberry Croissant,23.75,5.
1939,07-25-2024,Sweet Cheese and Blueberry Danish,22.5,6.
1940,07-25-2024,Yuzu Pie,90.73,22.
1941,07-25-2024,Baby Choux,13.5,3.
1942,07-25-2024,Banana Soft,14.,4.
1943,07-25-2024,Belgium Waffle,14.,4.
1944,07-25-2024,Blueberry Cream Cheese Bread,29.75,9.
1945,07-25-2024,Blueberry Muffin w/ Blueberry filling,3.95,1.
1946,07-25-2024,Blueberry Muffin with crumble,7.,2.
1947,07-25-2024,Chocolate Dipped Waffle,24.,6.
1948,07-25-2024,Chocolate Muffin w/ Hazelnut filling,19.75,5.
1949,07-25-2024,Cranberry Cream Cheese Bread,6.5,2.
1950,07-25-2024,Croque Monsieur,69.58,15.
1951,07-25-2024,Custard Bun,19.51,7.
1952,07-25-2024,Custard Cream Soboro,14.,4.
1953,07-25-2024,Double Chocolate Muffin,3.5,1.
1954,07-25-2024,Foliage Sausage Bread,87.6,19.
1955,07-25-2024,Garlic Cream Cheese Bread,49.5,9.
1956,07-25-2024,Garlic Stick,5.55,2.
1957,07-25-2024,Honey Cheese Pancake,43.81,9.
1958,07-25-2024,Honeydew Melon Soft,31.5,9.
1959,07-25-2024,Milk Cream Bread,34.12,11.
1960,07-25-2024,Milk Soft Bread,3.5,1.
1961,07-25-2024,Mini Butter Cream Bread,2.5,1.
1962,07-25-2024,Mocha Cream Bread,8.91,2.
1963,07-25-2024,Morning Bread,5.,1.
1964,07-25-2024,Nutty Cream Stick Bread,12.75,3.
1965,07-25-2024,Olive Tomato Bread,21.6,5.
1966,07-25-2024,Original Coffee Bun,14.25,4.
1967,07-25-2024,Pizza Bread,23.04,5.
1968,07-25-2024,Potato Cheese Bread,29.7,6.
1969,07-25-2024,Premium Red Bean Bread,7.,2.
1970,07-25-2024,Redbean Bread,45.,15.
1971,07-25-2024,Salt & Butter Roll,28.,8.
1972,07-25-2024,Soboro,25.5,9.
1973,07-25-2024,Strawberry Cream Soboro,17.,4.
1974,07-25-2024,Strawberry Soft,14.,4.
1975,07-25-2024,Sweet Frank Roll,65.77,17.
1976,07-25-2024,Taro Buttercream Bread,6.95,1.
1977,07-25-2024,The+ Milk Roll,11.5,2.
1978,07-26-2024,Chocolate Cream Doughnut,43.45,11.
1979,07-26-2024,Corn Cheese Donut,20.87,13.
1980,07-26-2024,Croquette,75.,20.
1981,07-26-2024,Curry Croquette,112.5,30.
1982,07-26-2024,Kimchi Croquette,70.5,19.
1983,07-26-2024,Mango Cream Doughnut,79.,20.
1984,07-26-2024,Redbean Donut,14.4,5.
1985,07-26-2024,Sesame Donut,18.28,7.
1986,07-26-2024,Sweet Rice Donut,43.45,16.
1987,07-26-2024,Twist Donut,27.5,10.
1988,07-26-2024,Baguette,14.,4.
1989,07-26-2024,Chestnut Pan Bread,6.95,1.
1990,07-26-2024,Mascarpone Whipped Cream Loaf,18.2,3.
1991,07-26-2024,Multi-Grain Plant-Based Loaf,7.,1.
1992,07-26-2024,Purple Sweet Potato Loaf,14.,2.
1993,07-26-2024,Whole Milk Loaf,32.2,5.
1994,07-26-2024,Chocolate Pretzel Pastry,30.97,9.
1995,07-26-2024,Almond Croissant,59.5,14.
1996,07-26-2024,Caramel Almond Pastry,18.75,5.
1997,07-26-2024,Caramel Apple Pie,67.5,18.
1998,07-26-2024,Chocolate Avalanche,63.2,16.
1999,07-26-2024,Chocolate Croissant,55.25,13.
2000,07-26-2024,Cranberry Cream Cheese Scone,7.5,3.
2001,07-26-2024,Cream Puff Pastry,15.,4.
2002,07-26-2024,Crispy Almond Pastry,63.75,17.
2003,07-26-2024,Croissant,39.,12.
2004,07-26-2024,Elotes Pastry,39.5,10.
2005,07-26-2024,Frank Pastry,47.4,12.
2006,07-26-2024,Garlic & Cheese Croissant,21.25,5.
2007,07-26-2024,Greek Yogurt Cherry Danish,28.5,8.
2008,07-26-2024,Guava Danish,47.25,13.
2009,07-26-2024,Mini Apple Danish Trio,46.75,11.
2010,07-26-2024,Mixed Berry Danish,10.,2.
2011,07-26-2024,Mont Blanc Pastry,24.,4.
2012,07-26-2024,Pain Au Chocolat,48.19,13.
2013,07-26-2024,Pain Aux Raisin,18.75,5.
2014,07-26-2024,Pineapple Cream Cheese Scone,12.5,5.
2015,07-26-2024,Portuguese Egg Tart,39.,12.
2016,07-26-2024,Raspberry Pretzel Pastry,6.3,2.
2017,07-26-2024,Spinach Feta Danish,71.1,18.
